,title,developers,publishers,release_date,platforms,genres,score,reviewed_by
0,Mass Effect Legendary Edition  Part 3: Mass Effect 3,BioWare,Electronic Arts,2021-05-14,"Xbox One,  PlayStation 4,  PC","Compilation,  RPG",8,Dan Stapleton
1,Call of Duty: Vanguard - Single-Player Campaign ,"Treyarch,  Sledgehammer Games",Activision,2021-11-05,"Xbox Series X|S,  Xbox One,  PlayStation 5,  PlayStation 4,  PC","Shooter,  First-Person",7,Simon Cardy
2,Shin Megami Tensei V ,Atlus,Atlus,2021-11-12,Nintendo Switch,RPG,8,Leana Hafer
3,Forza Horizon 5 ,Playground Games,Xbox Game Studios,2021-11-09,"PC,  Xbox Series X|S,  Xbox One",Racing,10,Luke Reilly
4,Riders Republic ,Ubisoft Annecy,Ubisoft,2021-10-28,"Stadia,  PlayStation 5,  PlayStation 4,  Xbox One,  Xbox Series X|S","Sports,  Extreme Sports",8,Travis Northup
6,Darkest Dungeon 2 Early Access ,Red Hook Studios,Red Hook Studios,2021-10-26,"PC,  TBA","RPG,  Roguelike / Rogue-Lite",7,Rowan Kaiser
8,Fracked ,nDreams,nDreams,2021-08-19,PlayStation 4,"Action,  Adventure,  VR",7,Chris Reed
9,Disciples: Liberation ,Frima Studios,Kalypso Media,2021-10-21,"PlayStation 5,  PlayStation 4,  Xbox Series X|S,  Xbox One,  PC","RPG,  Strategy",7,Jon Bolding
10,Inscryption ,Daniel Mullins Games,Devolver Digital,2021-10-19,PC,"Adventure,  Horror,  Roguelike / Rogue-Lite,  Deckbuilder",9,Tom Marks
11,Mario Party Superstars ,NDCube,Nintendo,2021-10-29,Nintendo Switch,"Compilation,  Party",8,Mitchell Saltzman
13,Marvel's Guardians of the Galaxy ,Eidos Montreal,Square Enix,2021-10-26,"PC,  Xbox One,  Xbox Series X|S,  PlayStation 4,  PlayStation 5,  Nintendo Switch","Action,  RPG",8,Tom Marks
14,Age of Empires 4 ,Relic,Xbox Game Studios,2021-10-28,PC,"Strategy,  Real-Time",8,Leana Hafer
16,The Riftbreaker ,EXOR Studios,EXOR Studios,2021-10-14,"Xbox Series X|S,  PlayStation 5,  PC","Action,  RPG,  Strategy",8,Travis Northup
17,The Dark Pictures Anthology: House of Ashes ,Supermassive Games,Bandai Namco Games,2021-10-22,"Xbox Series X|S,  PlayStation 5,  Xbox One,  PlayStation 4,  PC","Adventure,  Horror",8,Ricky Frech
19,Resident Evil 4 VR ,"Capcom,  Armature Studio",Facebook,2021-10-20,Oculus Quest,"Action,  VR",9,Taylor Lyles
20,NHL 22 ,EA Canada,Electronic Arts,2021-10-15,"PlayStation 4,  PlayStation 5,  Xbox One,  Xbox Series X|S","Sports,  Hockey",6,Matt Paprocki
21,Back 4 Blood ,Turtle Rock Studios,Warner Bros. Games,2021-10-12,"PC,  PlayStation 4,  Xbox One,  PlayStation 5,  Xbox Series X|S",Shooter,8,Kyle Campbell
22,Demon Slayer: Kimetsu no Yaiba - The Hinokami Chronicles ,"CyberConnect2,  Aniplex",SEGA,2021-10-15,"PlayStation 4,  PlayStation 5,  Xbox One,  PC,  Xbox Series X|S",Action,7,Will Borger
23,Cruis’n Blast ,Raw Thrills,Raw Thrills,2017-01-31,"Arcade,  Nintendo Switch",Racing,7,Luke Reilly
24,Nickelodeon All-Star Brawl ,"Ludosity Interactive,  Fair Play Labs",Game Mill Entertainment,2021-10-05,"PC,  Xbox One,  Xbox Series X|S,  PlayStation 4,  PlayStation 5,  Nintendo Switch",Fighting,7,Mitchell Saltzman
26,Metroid Dread ,"Nintendo,  MercurySteam",Nintendo,2021-10-08,Nintendo Switch,"Action,  Adventure,  Metroidvania",9,Samuel Claiborn
27,Far Cry 6 ,Ubisoft Toronto,Ubisoft,2021-10-07,"Xbox Series X|S,  Xbox One,  PC,  PlayStation 5,  PlayStation 4,  Stadia","Shooter,  First-Person,  Open-World",8,Jon Ryan
28,Alan Wake Remastered ,Remedy,Epic Games,2021-10-05,"Xbox Series X|S,  Xbox One,  PC,  PlayStation 5,  PlayStation 4",Action,7,Tristan Ogilvie
29,Astria Ascending ,Artisan Studios,Dear Villagers,2021-09-30,"PlayStation 4,  PlayStation 5,  Xbox One,  Xbox Series X|S,  PC,  Nintendo Switch",RPG,6,Cameron Hawkins
30,FIFA 22 Legacy Edition (Switch) ,"Electronic Arts Romania SRL,  Electronic Arts Vancouver",Electronic Arts,2021-10-09,Nintendo Switch,"Sports,  Soccer",2,Simon Cardy
31,Diablo 2: Resurrected ,Blizzard Entertainment,Blizzard Entertainment,2021-09-23,"Nintendo Switch,  PlayStation 5,  PlayStation 4,  Xbox Series X|S,  PC","Action,  RPG",7,Jon Bolding
33,Pathfinder: Wrath of the Righteous ,Owlcat Games,"Owlcat Games, Prime Matter",2021-09-02,"PC,  PlayStation 4,  Xbox Series X|S,  Xbox One,  PlayStation 5",RPG,8,Rowan Kaiser
34,Super Monkey Ball: Banana Mania ,Ryu Ga Gotoku Studio,SEGA,2021-10-05,"PlayStation 4,  Nintendo Switch,  PlayStation 5,  Xbox One,  Xbox Series X|S,  PC","Action,  Puzzle",6,Sarah LeBoeuf
36,Outer Wilds: Echoes of the Eye DLC ,Mobius Entertainment,Annapurna Interactive,2019-05-28,"PC,  Xbox One,  PlayStation 4,  Nintendo Switch",Adventure,8,Tom Marks
37,FIFA 22 ,EA Canada,Electronic Arts,2021-09-29,"Stadia,  PlayStation 5,  Xbox Series X|S","Sports,  Soccer",7,Jordan Oloman
38,Hot Wheels Unleashed ,Milestone,Milestone,2021-09-30,"PlayStation 4,  PlayStation 5,  Xbox One,  Xbox Series X|S,  PC,  Nintendo Switch",Racing,9,Luke Reilly
41,Death Stranding Director's Cut ,Kojima Productions,"Sony Computer Entertainment, 505 Games",2019-11-07,"PlayStation 4,  PC,  PlayStation 5","Action,  Adventure,  Open-World",7,Tristan Ogilvie
43,Kena: Bridge of Spirits ,Ember Lab,Ember Lab,2021-09-21,"PlayStation 5,  PlayStation 4,  PC","Action,  Adventure,  Platformer",8,Mitchell Saltzman
44,Eastward ,Pixpil,Chucklefish,2021-09-16,"Nintendo Switch,  PC","Adventure,  RPG",8,Jon Bolding
46,Lost Judgment ,Ryu Ga Gotoku Studio,SEGA,2021-09-23,"PlayStation 5,  PlayStation 4,  Xbox Series X|S,  Xbox One","Action,  Crime,  Adventure",7,Tristan Ogilvie
47,Skatebird ,Glass Bottom Games,Glass Bottom Games,2021-09-16,"Nintendo Switch,  Xbox One,  PC,  Luna","Sports,  Skateboarding",5,Luke Reilly
48,Aragami 2 ,LinceWorks,LinceWorks,2021-09-17,"Xbox Series X|S,  Xbox One,  PlayStation 4,  PlayStation 5,  PC",Action,5,Kyle Campbell
49,I Am Fish ,Bossa Studios,Curve Digital,2021-09-16,"PC,  Xbox One,  Xbox Series X|S","Action,  Puzzle",7,Travis Northup
50,Lost in Random ,Zoink!,Electronic Arts,2021-09-10,"Xbox Series X|S,  PlayStation 5,  PC,  Nintendo Switch,  Xbox One,  PlayStation 4","Action,  Adventure",8,Gabriel Moss
51,NBA 2K22 ,Visual Concepts,2K Games,2021-09-10,"Xbox Series X|S,  PlayStation 5","Sports,  Basketball",7,Ricky Frech
53,Deathloop ,Arkane Studios,Bethesda  Softworks,2021-09-14,"PC,  PlayStation 5",Action,10,Matt Purslow
54,Tales of Arise ,Bandai Namco Studios,Bandai Namco Games,2021-09-10,"Xbox Series X|S,  PlayStation 5,  PC,  PlayStation 4,  Xbox One",RPG,9,Terence Wiggins
55,Pandemic: Hot Zone Europe Board Game ,Z-Man Games,Z-Man Games,2021-08-26,Tabletop,Board,8,Matthew Adler
56,Big Rumble Boxing: Creed Champions ,Survios,Survios,2021-09-03,"Nintendo Switch,  PlayStation 4,  Xbox One,  PC",Boxing,4,Luke Reilly
57,Clid The Snail ,Weird Beluga Studio,Koch Media,2021-08-31,"PlayStation 5,  PlayStation 4,  PC",Shooter,5,Jarrett Green
58,Life is Strange: True Colors ,Deck Nine Games,Square Enix,2021-09-10,"PC,  PlayStation 4,  PlayStation 5,  Xbox One,  Xbox Series X|S,  Stadia,  Nintendo Switch",Adventure,9,Taylor Lyles
59,The Artful Escape ,Beethoven & Dinosaur,Annapurna Interactive,2021-09-09,"PC,  Xbox Series X|S,  Xbox One,  iPhone","Adventure,  Platformer",8,Tristan Ogilvie
60,WarioWare: Get It Together! ,"Intelligent Systems,  Nintendo Entertainment Planning & Development",Nintendo,2021-09-10,Nintendo Switch,Party,7,Tom Marks
61,Baldo: The Guardian Owls ,Naps Team,Naps Team,2021-08-27,"Nintendo Switch,  Xbox One,  PC,  PlayStation 4","Action,  Adventure",4,Gabriel Moss
63,WRC 10 ,Kylotonn,Nacon,2021-09-02,"Xbox One,  Xbox Series X|S,  Nintendo Switch,  PC,  PlayStation 5,  PlayStation 4",Racing,8,Luke Reilly
64,King's Bounty 2 ,1C Entertainment,1C Entertainment,2021-08-24,"PC,  Xbox One,  PlayStation 4,  Nintendo Switch",Strategy,6,Leana Hafer
